Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
A Dutt (NED),2023-2023,9,77.3,6,465,426,10,3/44,42.60,5.49,46.50,-,-,-
Rashid Khan (AFG),2023-2023,9,86.3,2,519,388,11,3/37,35.27,4.48,47.18,-,-,-
SN Thakur (IND),2023-2023,3,17.0,-,102,102,2,1/31,51.00,6.00,51.00,-,-,-
MM Ali (ENG),2023-2023,6,42.4,-,256,248,5,3/42,49.60,5.81,51.20,-,-,-
SM Curran (ENG),2023-2023,3,17.2,2,104,140,2,1/47,70.00,8.07,52.00,-,-,-
Usama Mir (PAK),2023-2023,4,35.0,-,210,248,4,2/45,62.00,7.08,52.50,-,-,-
MA Wood (ENG),2023-2023,7,54.0,1,324,349,6,2/50,58.16,6.46,54.00,-,-,-
RE van der Merwe (NED),2023-2023,8,56.0,-,336,311,6,2/34,51.83,5.55,56.00,-,-,-
CN Ackermann (NED),2023-2023,9,47.2,2,284,234,5,2/39,46.80,4.94,56.80,-,-,-
M Pathirana (SL),2023-2023,2,19.0,-,114,185,2,1/90,92.50,9.73,57.00,-,-,-
LS Livingstone (ENG),2023-2023,6,29.0,1,174,158,3,1/13,52.66,5.44,58.00,-,-,-
R Ashwin (IND),2023-2023,1,10.0,1,60,34,1,1/34,34.00,3.40,60.00,-,-,-
JE Root (ENG),2023-2023,9,10.1,-,61,67,1,1/19,67.00,6.59,61.00,-,-,-
Mujeeb Ur Rahman (AFG),2023-2023,9,81.5,2,491,458,8,3/51,57.25,5.59,61.37,-,-,-
TM Head (AUS),2023-2023,6,21.0,-,126,101,2,2/21,50.50,4.80,63.00,-,-,-
Taskin Ahmed (BAN),2023-2023,7,55.0,3,330,305,5,2/43,61.00,5.54,66.00,-,-,-
GJ Maxwell (AUS),2023-2023,9,68.3,1,411,330,6,2/34,55.00,4.81,68.50,-,-,-
M Theekshana (SL),2023-2023,8,71.2,1,428,382,6,2/44,63.66,5.35,71.33,-,-,-
Iftikhar Ahmed (PAK),2023-2023,9,48.0,-,288,262,4,1/16,65.50,5.45,72.00,-,-,-
Mustafizur Rahman (BAN),2023-2023,8,65.4,3,394,398,5,2/36,79.60,6.06,78.80,-,-,-
R Ravindra (NZ),2023-2023,10,65.4,-,394,393,5,2/21,78.60,5.98,78.80,-,-,-
DN Wellalage (SL),2023-2023,3,29.2,-,176,196,2,1/53,98.00,6.68,88.00,-,-,-
PVD Chameera (SL),2023-2023,4,31.2,3,188,196,2,1/20,98.00,6.25,94.00,-,-,-
AK Markram (SA),2023-2023,10,18.3,1,111,85,1,1/23,85.00,4.59,111.00,-,-,-
Mohammad Nawaz (PAK),2023-2023,5,37.5,-,227,223,2,1/31,111.50,5.89,113.50,-,-,-
Shadab Khan (PAK),2023-2023,6,38.0,-,228,237,2,1/45,118.50,6.23,114.00,-,-,-
Abdullah Shafique (PAK),2023-2023,8,0.0,-,0,-,-,-,-,-,-,-,-,-
Agha Salman (PAK),2023-2023,3,5.0,-,30,46,-,-,-,9.20,-,-,-,-
KIC Asalanka (SL),2023-2023,9,1.0,-,6,10,-,-,-,10.00,-,-,-,-
Babar Azam (PAK),2023-2023,9,0.0,-,0,-,-,-,-,-,-,-,-,-
JM Bairstow (ENG),2023-2023,9,0.0,-,0,-,-,-,-,-,-,-,-,-
W Barresi (NED),2023-2023,4,0.0,-,0,-,-,-,-,-,-,-,-,-
T Bavuma (SA),2023-2023,8,0.0,-,0,-,-,-,-,-,-,-,-,-
HC Brook (ENG),2023-2023,6,0.0,-,0,-,-,-,-,-,-,-,-,-
JC Buttler (ENG),2023-2023,9,0.0,-,0,-,-,-,-,-,-,-,-,-
AT Carey (AUS),2023-2023,1,0.0,-,0,-,-,-,-,-,-,-,-,-
MS Chapman (NZ),2023-2023,8,0.0,-,0,-,-,-,-,-,-,-,-,-
DP Conway (NZ),2023-2023,10,0.0,-,0,-,-,-,-,-,-,-,-,-
Q de Kock (SA),2023-2023,10,0.0,-,0,-,-,-,-,-,-,-,-,-
DM de Silva (SL),2023-2023,8,25.0,-,150,174,-,-,-,6.96,-,-,-,-
SA Edwards (NED),2023-2023,9,0.0,-,0,-,-,-,-,-,-,-,-,-
SA Engelbrecht (NED),2023-2023,8,0.0,-,0,-,-,-,-,-,-,-,-,-
