Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
Shaheen Shah Afridi (PAK),2023-2023,9,81.0,3,486,481,18,5/54,26.72,5.93,27.0,-,1,-
CBRLS Kumara (SL),2023-2023,2,11.0,-,66,82,3,3/35,27.33,7.45,22.0,-,-,-
AU Rashid (ENG),2023-2023,9,79.4,1,478,413,15,3/42,27.53,5.18,31.86,-,-,-
K Rabada (SA),2023-2023,9,72.5,7,437,364,13,3/33,28.0,4.99,33.61,-,-,-
LB Williams (SA),2023-2023,1,8.4,1,52,56,2,2/56,28.0,6.46,26.0,-,-,-
JR Hazlewood (AUS),2023-2023,11,93.1,8,559,449,16,3/38,28.06,4.81,34.93,-,-,-
MJ Santner (NZ),2023-2023,10,92.4,4,556,449,16,5/59,28.06,4.84,34.75,-,1,-
Kuldeep Yadav (IND),2023-2023,11,95.1,2,571,424,15,2/7,28.26,4.45,38.06,-,-,-
MJ Henry (NZ),2023-2023,7,54.2,3,326,315,11,3/40,28.63,5.79,29.63,-,-,-
CR Woakes (ENG),2023-2023,8,55.0,1,330,298,10,4/54,29.8,5.41,33.0,1,-,-
LH Ferguson (NZ),2023-2023,7,54.0,3,324,301,10,3/19,30.1,5.57,32.4,-,-,-
BFW de Leede (NED),2023-2023,9,67.0,-,402,487,16,4/62,30.43,7.26,25.12,1,-,-
SA Abbott (AUS),2023-2023,1,10.0,-,60,61,2,2/61,30.5,6.1,30.0,-,-,-
Mohammad Nabi (AFG),2023-2023,9,61.3,4,369,254,8,3/28,31.75,4.13,46.12,-,-,-
MA Starc (AUS),2023-2023,10,87.0,2,522,528,16,3/34,33.0,6.06,32.62,-,-,-
Haris Rauf (PAK),2023-2023,9,79.0,1,474,533,16,3/43,33.31,6.74,29.62,-,-,-
Mohammed Siraj (IND),2023-2023,11,82.3,6,495,469,14,3/16,33.5,5.68,35.35,-,-,-
R Ashwin (IND),2023-2023,1,10.0,1,60,34,1,1/34,34.0,3.4,60.0,-,-,-
PJ Cummins (AUS),2023-2023,11,89.3,1,537,515,15,3/51,34.33,5.75,35.8,-,-,-
Rashid Khan (AFG),2023-2023,9,86.3,2,519,388,11,3/37,35.27,4.48,47.18,-,-,-
L Ngidi (SA),2023-2023,8,60.3,6,363,355,10,2/26,35.5,5.86,36.3,-,-,-
Hasan Ali (PAK),2023-2023,6,51.0,2,306,321,9,4/71,35.66,6.29,34.0,1,-,-
MP Stoinis (AUS),2023-2023,6,19.0,-,114,143,4,2/40,35.75,7.52,28.5,-,-,-
TA Boult (NZ),2023-2023,10,91.0,6,546,504,14,3/37,36.0,5.53,39.0,-,-,-
AL Phehlukwayo (SA),2023-2023,1,7.0,-,42,36,1,1/36,36.0,5.14,42.0,-,-,-
Noor Ahmad (AFG),2023-2023,4,38.0,1,228,182,5,3/49,36.4,4.78,45.6,-,-,-
AAP Atkinson (ENG),2023-2023,3,24.0,-,144,146,4,2/45,36.5,6.08,36.0,-,-,-
Shakib Al Hasan (BAN),2023-2023,7,62.3,1,375,329,9,3/30,36.55,5.26,41.66,-,-,-
TG Southee (NZ),2023-2023,4,33.0,-,198,256,7,3/100,36.57,7.75,28.28,-,-,-
PA van Meekeren (NED),2023-2023,9,74.2,1,446,447,12,4/23,37.25,6.01,37.16,1,-,-
Fazalhaq Farooqi (AFG),2023-2023,6,40.0,2,240,228,6,4/34,38.0,5.7,40.0,1,-,-
Azmatullah Omarzai (AFG),2023-2023,9,38.0,1,228,270,7,2/52,38.57,7.1,32.57,-,-,-
GD Phillips (NZ),2023-2023,10,40.0,1,240,233,6,3/37,38.83,5.82,40.0,-,-,-
LV van Beek (NED),2023-2023,8,70.5,1,425,476,12,4/74,39.66,6.72,35.41,1,-,-
Saqib Zulfiqar (NED),2023-2023,2,5.0,-,30,40,1,1/25,40.0,8.0,30.0,-,-,-
Mehidy Hasan Miraz (BAN),2023-2023,9,72.0,3,432,402,10,3/25,40.2,5.58,43.2,-,-,-
Shoriful Islam (BAN),2023-2023,8,64.4,3,388,409,10,3/75,40.9,6.32,38.8,-,-,-
CAK Rajitha (SL),2023-2023,6,49.0,1,294,336,8,4/50,42.0,6.85,36.75,1,-,-
A Dutt (NED),2023-2023,9,77.3,6,465,426,10,3/44,42.6,5.49,46.5,-,-,-
Naveen-ul-Haq (AFG),2023-2023,8,53.4,1,322,352,8,2/47,44.0,6.55,40.25,-,-,-
Hasan Mahmud (BAN),2023-2023,2,14.0,-,84,132,3,2/67,44.0,9.42,28.0,-,-,-
CN Ackermann (NED),2023-2023,9,47.2,2,284,234,5,2/39,46.8,4.94,56.8,-,-,-
MR Marsh (AUS),2023-2023,10,13.0,-,78,96,2,2/19,48.0,7.38,39.0,-,-,-
MM Ali (ENG),2023-2023,6,42.4,-,256,248,5,3/42,49.6,5.81,51.2,-,-,-
TM Head (AUS),2023-2023,6,21.0,-,126,101,2,2/21,50.5,4.8,63.0,-,-,-
SN Thakur (IND),2023-2023,3,17.0,-,102,102,2,1/31,51.0,6.0,51.0,-,-,-
RE van der Merwe (NED),2023-2023,8,56.0,-,336,311,6,2/34,51.83,5.55,56.0,-,-,-
LS Livingstone (ENG),2023-2023,6,29.0,1,174,158,3,1/13,52.66,5.44,58.0,-,-,-
GJ Maxwell (AUS),2023-2023,9,68.3,1,411,330,6,2/34,55.0,4.81,68.5,-,-,-
Mujeeb Ur Rahman (AFG),2023-2023,9,81.5,2,491,458,8,3/51,57.25,5.59,61.37,-,-,-
MA Wood (ENG),2023-2023,7,54.0,1,324,349,6,2/50,58.16,6.46,54.0,-,-,-
Taskin Ahmed (BAN),2023-2023,7,55.0,3,330,305,5,2/43,61.0,5.54,66.0,-,-,-
Usama Mir (PAK),2023-2023,4,35.0,-,210,248,4,2/45,62.0,7.08,52.5,-,-,-
M Theekshana (SL),2023-2023,8,71.2,1,428,382,6,2/44,63.66,5.35,71.33,-,-,-
Iftikhar Ahmed (PAK),2023-2023,9,48.0,-,288,262,4,1/16,65.5,5.45,72.0,-,-,-
JE Root (ENG),2023-2023,9,10.1,-,61,67,1,1/19,67.0,6.59,61.0,-,-,-
SM Curran (ENG),2023-2023,3,17.2,2,104,140,2,1/47,70.0,8.07,52.0,-,-,-
JDS Neesham (NZ),2023-2023,3,14.3,-,87,157,2,1/32,78.5,10.82,43.5,-,-,-
R Ravindra (NZ),2023-2023,10,65.4,-,394,393,5,2/21,78.6,5.98,78.8,-,-,-
Mustafizur Rahman (BAN),2023-2023,8,65.4,3,394,398,5,2/36,79.6,6.06,78.8,-,-,-
AK Markram (SA),2023-2023,10,18.3,1,111,85,1,1/23,85.0,4.59,111.0,-,-,-
M Pathirana (SL),2023-2023,2,19.0,-,114,185,2,1/90,92.5,9.73,57.0,-,-,-
PVD Chameera (SL),2023-2023,4,31.2,3,188,196,2,1/20,98.0,6.25,94.0,-,-,-
DN Wellalage (SL),2023-2023,3,29.2,-,176,196,2,1/53,98.0,6.68,88.0,-,-,-
Mohammad Nawaz (PAK),2023-2023,5,37.5,-,227,223,2,1/31,111.5,5.89,113.5,-,-,-
Shadab Khan (PAK),2023-2023,6,38.0,-,228,237,2,1/45,118.5,6.23,114.0,-,-,-
