Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
Mahedi Hasan (BAN),2023-2023,3,24.0,-,144,149,6,4/71,24.83,6.2,24.0,1,-,-
G Coetzee (SA),2023-2023,8,63.3,1,381,396,20,4/44,19.80,6.23,19.0,1,-,-
Shadab Khan (PAK),2023-2023,6,38.0,-,228,237,2,1/45,118.50,6.23,114.0,-,-,-
PVD Chameera (SL),2023-2023,4,31.2,3,188,196,2,1/20,98.00,6.25,94.0,-,-,-
Hasan Ali (PAK),2023-2023,6,51.0,2,306,321,9,4/71,35.66,6.29,34.0,1,-,-
Shoriful Islam (BAN),2023-2023,8,64.4,3,388,409,10,3/75,40.90,6.32,38.8,-,-,-
LB Williams (SA),2023-2023,1,8.4,1,52,56,2,2/56,28.00,6.46,26.0,-,-,-
MA Wood (ENG),2023-2023,7,54.0,1,324,349,6,2/50,58.16,6.46,54.0,-,-,-
Shariz Ahmad (NED),2023-2023,1,2.0,-,12,13,-,-,-,6.5,-,-,-,-
M Jansen (SA),2023-2023,9,69.0,3,414,450,17,3/31,26.47,6.52,24.3,-,-,-
Naveen-ul-Haq (AFG),2023-2023,8,53.4,1,322,352,8,2/47,44.00,6.55,40.2,-,-,-
JE Root (ENG),2023-2023,9,10.1,-,61,67,1,1/19,67.00,6.59,61.0,-,-,-
Mahmudullah (BAN),2023-2023,8,5.0,-,30,33,-,-,-,6.6,-,-,-,-
RJW Topley (ENG),2023-2023,3,27.4,2,166,183,8,4/43,22.87,6.61,20.7,1,-,-
DN Wellalage (SL),2023-2023,3,29.2,-,176,196,2,1/53,98.00,6.68,88.0,-,-,-
D Madushanka (SL),2023-2023,9,78.2,4,470,525,21,5/80,25.00,6.7,22.3,1,1,-
LV van Beek (NED),2023-2023,8,70.5,1,425,476,12,4/74,39.66,6.72,35.4,1,-,-
Haris Rauf (PAK),2023-2023,9,79.0,1,474,533,16,3/43,33.31,6.74,29.6,-,-,-
HH Pandya (IND),2023-2023,4,16.3,-,99,113,5,2/34,22.60,6.84,19.8,-,-,-
CAK Rajitha (SL),2023-2023,6,49.0,1,294,336,8,4/50,42.00,6.85,36.7,1,-,-
DM de Silva (SL),2023-2023,8,25.0,-,150,174,-,-,-,6.96,-,-,-,-
Nasum Ahmed (BAN),2023-2023,3,24.3,-,147,172,-,-,-,7.02,-,-,-,-
Usama Mir (PAK),2023-2023,4,35.0,-,210,248,4,2/45,62.00,7.08,52.5,-,-,-
Azmatullah Omarzai (AFG),2023-2023,9,38.0,1,228,270,7,2/52,38.57,7.1,32.5,-,-,-
BFW de Leede (NED),2023-2023,9,67.0,-,402,487,16,4/62,30.43,7.26,25.1,1,-,-
MR Marsh (AUS),2023-2023,10,13.0,-,78,96,2,2/19,48.00,7.38,39.0,-,-,-
Vikramjit Singh (NED),2023-2023,6,7.0,-,42,52,-,-,-,7.42,-,-,-,-
CBRLS Kumara (SL),2023-2023,2,11.0,-,66,82,3,3/35,27.33,7.45,22.0,-,-,-
MP Stoinis (AUS),2023-2023,6,19.0,-,114,143,4,2/40,35.75,7.52,28.5,-,-,-
TG Southee (NZ),2023-2023,4,33.0,-,198,256,7,3/100,36.57,7.75,28.2,-,-,-
Tanzim Hasan Sakib (BAN),2023-2023,1,10.0,-,60,80,3,3/80,26.66,8.0,20.0,-,-,-
Saqib Zulfiqar (NED),2023-2023,2,5.0,-,30,40,1,1/25,40.00,8.0,30.0,-,-,-
DJ Mitchell (NZ),2023-2023,10,1.3,-,9,12,-,-,-,8.0,-,-,-,-
SM Curran (ENG),2023-2023,3,17.2,2,104,140,2,1/47,70.00,8.07,52.0,-,-,-
RG Sharma (IND),2023-2023,11,0.5,-,5,7,1,1/7,7.00,8.4,5.0,-,-,-
SA Yadav (IND),2023-2023,7,2.0,-,12,17,-,-,-,8.5,-,-,-,-
Agha Salman (PAK),2023-2023,3,5.0,-,30,46,-,-,-,9.2,-,-,-,-
Hasan Mahmud (BAN),2023-2023,2,14.0,-,84,132,3,2/67,44.00,9.42,28.0,-,-,-
M Pathirana (SL),2023-2023,2,19.0,-,114,185,2,1/90,92.50,9.73,57.0,-,-,-
KIC Asalanka (SL),2023-2023,9,1.0,-,6,10,-,-,-,10.0,-,-,-,-
JDS Neesham (NZ),2023-2023,3,14.3,-,87,157,2,1/32,78.50,10.82,43.5,-,-,-
