Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
R Ravindra (NZ),2023-2023,10,9,394,65.4,-,393,5,2/21,78.6,5.98,78.8,-,-
Mustafizur Rahman (BAN),2023-2023,8,8,394,65.4,3,398,5,2/36,79.6,6.06,78.8,-,-
MP Stoinis (AUS),2023-2023,6,6,114,19.0,-,143,4,2/40,35.75,7.52,28.5,-,-
AAP Atkinson (ENG),2023-2023,3,3,144,24.0,-,146,4,2/45,36.5,6.08,36.0,-,-
Usama Mir (PAK),2023-2023,4,4,210,35.0,-,248,4,2/45,62.0,7.08,52.5,-,-
Iftikhar Ahmed (PAK),2023-2023,9,8,288,48.0,-,262,4,1/16,65.5,5.45,72.0,-,-
Tanzim Hasan Sakib (BAN),2023-2023,1,1,60,10.0,-,80,3,3/80,26.66,8.0,20.0,-,-
CBRLS Kumara (SL),2023-2023,2,2,66,11.0,-,82,3,3/35,27.33,7.45,22.0,-,-
Hasan Mahmud (BAN),2023-2023,2,2,84,14.0,-,132,3,2/67,44.0,9.42,28.0,-,-
LS Livingstone (ENG),2023-2023,6,6,174,29.0,1,158,3,1/13,52.66,5.44,58.0,-,-
LB Williams (SA),2023-2023,1,1,52,8.4,1,56,2,2/56,28.0,6.46,26.0,-,-
SA Abbott (AUS),2023-2023,1,1,60,10.0,-,61,2,2/61,30.5,6.1,30.0,-,-
MR Marsh (AUS),2023-2023,10,5,78,13.0,-,96,2,2/19,48.0,7.38,39.0,-,-
TM Head (AUS),2023-2023,6,5,126,21.0,-,101,2,2/21,50.5,4.8,63.0,-,-
SN Thakur (IND),2023-2023,3,3,102,17.0,-,102,2,1/31,51.0,6.0,51.0,-,-
SM Curran (ENG),2023-2023,3,3,104,17.2,2,140,2,1/47,70.0,8.07,52.0,-,-
JDS Neesham (NZ),2023-2023,3,3,87,14.3,-,157,2,1/32,78.5,10.82,43.5,-,-
M Pathirana (SL),2023-2023,2,2,114,19.0,-,185,2,1/90,92.5,9.73,57.0,-,-
PVD Chameera (SL),2023-2023,4,4,188,31.2,3,196,2,1/20,98.0,6.25,94.0,-,-
DN Wellalage (SL),2023-2023,3,3,176,29.2,-,196,2,1/53,98.0,6.68,88.0,-,-
Mohammad Nawaz (PAK),2023-2023,5,5,227,37.5,-,223,2,1/31,111.5,5.89,113.5,-,-
Shadab Khan (PAK),2023-2023,6,5,228,38.0,-,237,2,1/45,118.5,6.23,114.0,-,-
RG Sharma (IND),2023-2023,11,1,5,0.5,-,7,1,1/7,7.0,8.4,5.0,-,-
V Kohli (IND),2023-2023,11,2,21,3.3,-,15,1,1/13,15.0,4.28,21.0,-,-
R Ashwin (IND),2023-2023,1,1,60,10.0,1,34,1,1/34,34.0,3.4,60.0,-,-
AL Phehlukwayo (SA),2023-2023,1,1,42,7.0,-,36,1,1/36,36.0,5.14,42.0,-,-
Saqib Zulfiqar (NED),2023-2023,2,2,30,5.0,-,40,1,1/25,40.0,8.0,30.0,-,-
JE Root (ENG),2023-2023,9,2,61,10.1,-,67,1,1/19,67.0,6.59,61.0,-,-
AK Markram (SA),2023-2023,10,4,111,18.3,1,85,1,1/23,85.0,4.59,111.0,-,-
