Team,Score,Overs,Ext,b,lb,w,nb,RR,Inns,Opposition,Ground,Match Date,Scorecard
New Zealand,288,50.0,10,-,4,5,1,5.76,1,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
South Africa,382,50.0,10,-,3,7,-,7.64,1,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
Netherlands,205,41.0,9,-,-,9,-,5.0,2,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
Bangladesh,204,45.1,9,-,4,5,-,4.51,1,v Pakistan,Eden Gardens,31 Oct 2023,ODI # 4688
South Africa,247,47.3,9,-,3,6,-,5.2,2,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
Pakistan,286,49.0,9,-,-,8,1,5.83,1,v Netherlands,Hyderabad,6 Oct 2023,ODI # 4659
Afghanistan,286,49.0,9,-,-,8,1,5.83,2,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
Australia,388,49.2,9,1,-,6,2,7.86,1,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Bangladesh,245,50.0,9,-,1,4,4,4.9,1,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
Bangladesh,158,34.4,8,-,3,4,1,4.55,2,v Afghanistan,Dharamsala,7 Oct 2023,ODI # 4660
England,129,34.5,8,-,2,6,-,3.7,2,v India,Lucknow,29 Oct 2023,ODI # 4686
New Zealand,283,36.2,8,4,1,3,-,7.78,2,v England,Ahmedabad,5 Oct 2023,ODI # 4658
Afghanistan,156,37.2,8,-,-,8,-,4.17,1,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
Netherlands,179,37.2,8,-,4,4,-,4.79,2,v England,Pune,8 Nov 2023,ODI # 4697
India,201,41.2,8,1,1,5,1,4.86,2,v Australia,Chennai,8 Oct 2023,ODI # 4662
South Africa,207,42.5,8,-,2,5,1,4.83,2,v Netherlands,Dharamsala,17 Oct 2023,ODI # 4672
India,397,50.0,8,1,1,6,-,7.94,1,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Netherlands,90,21.0,7,-,-,7,-,4.28,2,v Australia,Delhi,25 Oct 2023,ODI # 4681
England,156,33.2,7,-,3,4,-,4.68,1,v Sri Lanka,Bengaluru,26 Oct 2023,ODI # 4682
Bangladesh,227,48.2,7,-,4,3,-,4.69,2,v England,Dharamsala,10 Oct 2023,ODI # 4664
Sri Lanka,279,49.3,7,-,3,4,-,5.63,1,v Bangladesh,Delhi,6 Nov 2023,ODI # 4695
England,364,50.0,7,1,2,4,-,7.28,1,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
India,229,50.0,7,4,-,3,-,4.58,1,v England,Lucknow,29 Oct 2023,ODI # 4686
Bangladesh,142,42.2,6,-,-,6,-,3.35,2,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
Pakistan,244,43.3,6,-,1,5,-,5.6,2,v England,Eden Gardens,11 Nov 2023,ODI # 4701
England,282,50.0,6,-,-,6,-,5.64,1,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
Bangladesh,256,50.0,6,-,1,5,-,5.12,1,v India,Pune,19 Oct 2023,ODI # 4674
Afghanistan,139,34.4,5,-,-,5,-,4.0,2,v New Zealand,Chennai,18 Oct 2023,ODI # 4673
India,274,48.0,5,-,1,4,-,5.7,2,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Pakistan,200,25.3,4,-,1,3,-,7.84,2,v New Zealand,Bengaluru,4 Nov 2023,ODI # 4692
Pakistan,205,32.3,4,-,2,2,-,6.3,2,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
India,261,41.3,4,-,-,2,2,6.28,2,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Pakistan,191,42.5,4,1,2,1,-,4.45,1,v India,Ahmedabad,14 Oct 2023,ODI # 4669
Australia,307,44.4,4,-,-,4,-,6.87,2,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Netherlands,223,46.3,4,-,1,2,1,4.79,2,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
Sri Lanka,171,46.4,4,-,1,3,-,3.66,1,v New Zealand,Bengaluru,9 Nov 2023,ODI # 4698
Sri Lanka,160,25.4,3,-,-,3,-,6.23,2,v England,Bengaluru,26 Oct 2023,ODI # 4682
Australia,215,35.2,3,-,-,3,-,6.08,2,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
New Zealand,172,23.2,2,-,-,2,-,7.37,2,v Sri Lanka,Bengaluru,9 Nov 2023,ODI # 4698
South Africa,83,27.1,2,-,-,2,-,3.05,2,v India,Eden Gardens,5 Nov 2023,ODI # 4694
India,192,30.3,2,-,1,1,-,6.29,2,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
