Player,Runs,Mins,Balls,4s,6s,4+6,SR,Team,Opposition,Ground,Match Date,Scorecard
RG Sharma,48,51,40,7,2,40,120.0,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Abdullah Shafique,64,93,61,7,2,40,104.91,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
Imam-ul-Haq,70,107,71,10,-,40,98.59,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
RG Sharma,46,44,40,4,4,40,115.0,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Ibrahim Zadran,87,146,113,10,-,40,76.99,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
M Labuschagne,62,60,47,7,2,40,131.91,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
P Nissanka,77,110,83,7,2,40,92.77,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
GD Phillips,60,87,50,4,4,40,120.0,New Zealand,v South Africa,Pune,01 Nov 2023,ODI # 4689
V Kohli,101,195,121,10,-,40,83.47,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
SS Iyer,77,101,87,7,2,40,88.5,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
AT Nidamanuru,54,65,39,1,6,40,138.46,Netherlands,v India,Bengaluru,12 Nov 2023,ODI # 4702
RG Sharma,47,40,29,4,4,40,162.06,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
JE Root,82,107,68,8,1,38,120.58,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
Hashmatullah Shahidi,80,128,88,8,1,38,90.9,Afghanistan,v India,Delhi,11 Oct 2023,ODI # 4666
KS Williamson,78,158,107,8,1,38,72.89,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Tanzid Hasan,51,75,43,5,3,38,118.6,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
MA Wood,43,25,17,2,5,38,252.94,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
KS Williamson,69,116,73,8,1,38,94.52,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
BFW de Leede,67,92,68,6,2,36,98.52,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
Mushfiqur Rahim,66,93,75,6,2,36,88.0,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
MR Marsh,52,67,51,9,-,36,101.96,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
P Nissanka,54,69,52,9,-,36,103.84,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
MP O'Dowd,42,50,40,9,-,36,105.0,Netherlands,v Afghanistan,Lucknow,03 Nov 2023,ODI # 4691
